NOTE: Annotations and predictions are separated with three blanks if annotations take up more than 75 characters
      Annotations/predictions are separated from other annotations/predictions by semi-colon

PREDICTIONS OF LABELLED DATA

GENE           ANNOTATION                                                                 PREDICTIONS
M23533         GO:0008283: cell proliferation;GO:0007242: intracellular signaling cascade;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007242: intracellular signaling cascade;
M24349         GO:0008283: cell proliferation;GO:0007048: oncogenesis;GO:0007582: physiological processes;GO:0007267: cell-cell signaling;   GO:0007267: cell-cell signaling;GO:0007582: physiological processes;GO:0007048: oncogenesis;
M74558         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;
D11151         GO:0008283: cell proliferation;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007602: phototransduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0006928: cell motility;GO:0007601: vision;
D42072         GO:0008283: cell proliferation;GO:0007242: intracellular signaling cascade;GO:0008283: cell proliferation;GO:0007242: intracellular signaling cascade;
U60805         GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;
M76446         GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0006259: DNA metabolism;   GO:0008283: cell proliferation;GO:0006259: DNA metabolism;GO:0007267: cell-cell signaling;
X76534         GO:0008283: cell proliferation;                                            GO:0006366: transcription from Pol II promoter;GO:0006091: energy pathways;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X77584         GO:0008283: cell proliferation;GO:0006959: humoral defense mechanism;GO:0006928: cell motility;GO:0007267: cell-cell signaling;   GO:0008283: cell proliferation;GO:0006259: DNA metabolism;GO:0007267: cell-cell signaling;GO:0006928: cell motility;GO:0006959: humoral defense mechanism;GO:0007048: oncogenesis;
U62015         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;GO:0006412: protein biosynthesis;
X77753         GO:0008283: cell proliferation;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007601: vision;
M77349         GO:0008283: cell proliferation;GO:0007601: vision;GO:0007155: cell adhesion;   GO:0008283: cell proliferation;GO:0007155: cell adhesion;GO:0007601: vision;
J04513         GO:0008283: cell proliferation;GO:0007498: mesoderm development;GO:0007242: intracellular signaling cascade;GO:0006928: cell motility;GO:0007399: neurogenesis;GO:0007267: cell-cell signaling;   GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;GO:0006928: cell motility;GO:0007242: intracellular signaling cascade;GO:0007498: mesoderm development;
M80333         GO:0008283: cell proliferation;GO:0007048: oncogenesis;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0007601: vision;GO:0007048: oncogenesis;
X78992         GO:0008283: cell proliferation;GO:0007048: oncogenesis;                    GO:0008283: cell proliferation;GO:0007048: oncogenesis;
L16991         GO:0008283: cell proliferation;GO:0006259: DNA metabolism;                 GO:0008283: cell proliferation;GO:0006259: DNA metabolism;
U63743         GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;             GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;
M26682         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;GO:0007155: cell adhesion;GO:0007399: neurogenesis;GO:0007498: mesoderm development;
U64198         GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;
M81379         GO:0008283: cell proliferation;GO:0007582: physiological processes;        GO:0008283: cell proliferation;GO:0007582: physiological processes;
M27281         GO:0008283: cell proliferation;GO:0007155: cell adhesion;                  GO:0008283: cell proliferation;GO:0007155: cell adhesion;
U66468         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;
U66469         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0007166: cell surface receptor linked signal transduction;GO:0007242: intracellular signaling cascade;
M27288         GO:0008283: cell proliferation;GO:0007582: physiological processes;GO:0007267: cell-cell signaling;   GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0007582: physiological processes;
M81829         GO:0008283: cell proliferation;GO:0007582: physiological processes;GO:0007267: cell-cell signaling;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007582: physiological processes;
M81830         GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;GO:0007267: cell-cell signaling;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;GO:0007582: physiological processes;
M27394         GO:0008283: cell proliferation;GO:0006959: humoral defense mechanism;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0006959: humoral defense mechanism;
M83181         GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;GO:0006629: lipid metabolism;
D87462         GO:0008283: cell proliferation;GO:0006411: protein metabolism and modification;   GO:0008283: cell proliferation;GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;
M83554         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;
D11428         GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;   GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;
J05008         GO:0008283: cell proliferation;GO:0007582: physiological processes;GO:0007267: cell-cell signaling;   GO:0008283: cell proliferation;GO:0007582: physiological processes;GO:0006928: cell motility;
X86098         GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
X86681         GO:0008283: cell proliferation;GO:0006810: transport;                      GO:0008283: cell proliferation;GO:0006810: transport;
M86667         GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;GO:0006259: DNA metabolism;   GO:0008283: cell proliferation;GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
U21551         GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;             GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;GO:0006629: lipid metabolism;
U70136         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;
M27968         GO:0008283: cell proliferation;GO:0007498: mesoderm development;GO:0007242: intracellular signaling cascade;GO:0006928: cell motility;GO:0007399: neurogenesis;GO:0007267: cell-cell signaling;   GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;GO:0006928: cell motility;GO:0007242: intracellular signaling cascade;GO:0007498: mesoderm development;
AF007111       GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;GO:0007582: physiological processes;GO:0006508: proteolysis and peptidolysis;
U70663         GO:0008283: cell proliferation;GO:0007498: mesoderm development;           GO:0008283: cell proliferation;GO:0007498: mesoderm development;
X90908         GO:0008283: cell proliferation;GO:0006629: lipid metabolism;               GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0006629: lipid metabolism;
M28439         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;GO:0006091: energy pathways;GO:0007498: mesoderm development;
K01911         GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0007166: cell surface receptor linked signal transduction;GO:0006810: transport;GO:0006928: cell motility;GO:0007582: physiological processes;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007582: physiological processes;GO:0006928: cell motility;
U73377         GO:0008283: cell proliferation;GO:0007048: oncogenesis;GO:0007602: phototransduction;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0007048: oncogenesis;
M29386         GO:0008283: cell proliferation;GO:0007498: mesoderm development;GO:0007582: physiological processes;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;GO:0007498: mesoderm development;
D90224         GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;            GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;
D12625         GO:0008283: cell proliferation;GO:0007242: intracellular signaling cascade;GO:0008283: cell proliferation;GO:0007242: intracellular signaling cascade;
M89914         GO:0008283: cell proliferation;GO:0007242: intracellular signaling cascade;GO:0008283: cell proliferation;GO:0007242: intracellular signaling cascade;
L03427         GO:0008283: cell proliferation;                                            GO:0006955: immune response;GO:0008283: cell proliferation;
M90657         GO:0008283: cell proliferation;GO:0006411: protein metabolism and modification;GO:0007582: physiological processes;   GO:0008283: cell proliferation;GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;
M30703         GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;            GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;
M13150         GO:0008283: cell proliferation;GO:0007048: oncogenesis;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007048: oncogenesis;
M92424         GO:0008283: cell proliferation;GO:0007048: oncogenesis;                    GO:0008283: cell proliferation;GO:0007048: oncogenesis;
U26266         GO:0008283: cell proliferation;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;   GO:0008283: cell proliferation;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
D16827         GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0006411: protein metabolism and modification;
J00129         GO:0008283: cell proliferation;GO:0007582: physiological processes;        GO:0008283: cell proliferation;GO:0007582: physiological processes;
X99975         GO:0008283: cell proliferation;                                            GO:0000074: cell cycle control;GO:0008283: cell proliferation;GO:0006629: lipid metabolism;GO:0005975: carbohydrate metabolism;
Y00083         GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;            GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;GO:0006629: lipid metabolism;
M93311         GO:0008283: cell proliferation;GO:0007399: neurogenesis;                   GO:0008283: cell proliferation;GO:0007399: neurogenesis;
D50683         GO:0008283: cell proliferation;GO:0007602: phototransduction;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;
Y00787         GO:0008283: cell proliferation;GO:0007242: intracellular signaling cascade;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007155: cell adhesion;GO:0007267: cell-cell signaling;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;GO:0006928: cell motility;GO:0007242: intracellular signaling cascade;
U79262         GO:0008283: cell proliferation;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;   GO:0008283: cell proliferation;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
Y07909         GO:0008283: cell proliferation;GO:0007048: oncogenesis;                    GO:0008283: cell proliferation;GO:0007048: oncogenesis;
U27185         GO:0008283: cell proliferation;                                            GO:0006468: protein phosphorylation;GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0007399: neurogenesis;
M94893         GO:0008283: cell proliferation;GO:0007048: oncogenesis;                    GO:0008283: cell proliferation;GO:0007048: oncogenesis;
L20941         GO:0008283: cell proliferation;                                            GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007048: oncogenesis;
U79751         GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;   GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;
M31774         GO:0008283: cell proliferation;GO:0007048: oncogenesis;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;GO:0007267: cell-cell signaling;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007582: physiological processes;GO:0007048: oncogenesis;
D17793         GO:0008283: cell proliferation;GO:0006629: lipid metabolism;               GO:0008283: cell proliferation;GO:0006629: lipid metabolism;
U29589         GO:0008283: cell proliferation;GO:0007048: oncogenesis;GO:0006411: protein metabolism and modification;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0007399: neurogenesis;GO:0007602: phototransduction;   GO:0007602: phototransduction;GO:0007399: neurogenesis;GO:0007601: vision;GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
D13305         GO:0008283: cell proliferation;GO:0007601: vision;GO:0007582: physiological processes;GO:0007602: phototransduction;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0007582: physiological processes;GO:0007601: vision;
L22548         GO:0008283: cell proliferation;GO:0007048: oncogenesis;GO:0007601: vision; GO:0008283: cell proliferation;GO:0007601: vision;GO:0007048: oncogenesis;
U31449         GO:0008283: cell proliferation;GO:0006411: protein metabolism and modification;   GO:0008283: cell proliferation;GO:0006411: protein metabolism and modification;
U31628         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;GO:0006810: transport;GO:0006508: proteolysis and peptidolysis;
Z12830         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0006928: cell motility;
D63940         GO:0008283: cell proliferation;                                            GO:0006955: immune response;GO:0008283: cell proliferation;
L06895         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0007155: cell adhesion;GO:0007601: vision;
U33017         GO:0008283: cell proliferation;GO:0006959: humoral defense mechanism;      GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0006959: humoral defense mechanism;
D28137         GO:0008283: cell proliferation;GO:0006959: humoral defense mechanism;GO:0007267: cell-cell signaling;   GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0006959: humoral defense mechanism;
Z29064         GO:0008283: cell proliferation;GO:0007048: oncogenesis;GO:0007602: phototransduction;GO:0007166: cell surface receptor linked signal transduction;   GO:0007602: phototransduction;
U87269         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;
U33202         GO:0008283: cell proliferation;GO:0007048: oncogenesis;                    GO:0008283: cell proliferation;GO:0007048: oncogenesis;
Z29574         GO:0008283: cell proliferation;GO:0006959: humoral defense mechanism;      GO:0008283: cell proliferation;GO:0006959: humoral defense mechanism;
U88964         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;GO:0006810: transport;
U33203         GO:0008283: cell proliferation;GO:0007048: oncogenesis;                    GO:0008283: cell proliferation;GO:0007048: oncogenesis;
S55606         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;GO:0006629: lipid metabolism;
M33680         GO:0008283: cell proliferation;GO:0006411: protein metabolism and modification;   GO:0008283: cell proliferation;GO:0006411: protein metabolism and modification;
Z49269         GO:0008283: cell proliferation;                                            GO:0008283: cell proliferation;
L25119         GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;
D42046         GO:0006259: DNA metabolism;                                                GO:0006955: immune response;GO:0006259: DNA metabolism;GO:0006629: lipid metabolism;
S75295         GO:0006259: DNA metabolism;GO:0006810: transport;                          GO:0006259: DNA metabolism;
U50950         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006915: apoptosis;GO:0006259: DNA metabolism;GO:0007399: neurogenesis;GO:0000278: mitotic cell cycle;
S75313         GO:0006259: DNA metabolism;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;   GO:0006259: DNA metabolism;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;
X83441         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
L33262         GO:0006259: DNA metabolism;                                                GO:0006955: immune response;GO:0006259: DNA metabolism;GO:0007582: physiological processes;
U51166         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007399: neurogenesis;GO:0006810: transport;GO:0007498: mesoderm development;
M58028         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
X84740         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
U20979         GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0006259: DNA metabolism;GO:0007166: cell surface receptor linked signal transduction;GO:0006411: protein metabolism and modification;
U37359         GO:0006259: DNA metabolism;                                                GO:0006915: apoptosis;GO:0006259: DNA metabolism;
U20980         GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;
U21090         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
D21090         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
M11722         GO:0006259: DNA metabolism;GO:0006959: humoral defense mechanism;          GO:0006259: DNA metabolism;GO:0006959: humoral defense mechanism;
M87339         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
M87499         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007498: mesoderm development;
D63882         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0006810: transport;
M13194         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007155: cell adhesion;
L40399         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;
U09820         GO:0006259: DNA metabolism;                                                GO:0008283: cell proliferation;GO:0006259: DNA metabolism;GO:0007166: cell surface receptor linked signal transduction;GO:0007242: intracellular signaling cascade;
D21235         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
J04611         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
M88163         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0007582: physiological processes;GO:0006928: cell motility;
U39817         GO:0006259: DNA metabolism;GO:0007048: oncogenesis;GO:0006959: humoral defense mechanism;GO:0000278: mitotic cell cycle;   GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;GO:0006959: humoral defense mechanism;GO:0007048: oncogenesis;
U56402         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
U56814         GO:0006259: DNA metabolism;                                                GO:0006955: immune response;GO:0006468: protein phosphorylation;GO:0006259: DNA metabolism;GO:0006928: cell motility;
X90392         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
U40152         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
U72936         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
L07493         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
L07541         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
D00591         GO:0006259: DNA metabolism;GO:0006810: transport;                          GO:0006259: DNA metabolism;GO:0006810: transport;
X62153         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
U57316         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;   GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0000278: mitotic cell cycle;GO:0006411: protein metabolism and modification;
U73737         GO:0006259: DNA metabolism;GO:0007048: oncogenesis;                        GO:0006259: DNA metabolism;GO:0007048: oncogenesis;
J04810         GO:0006259: DNA metabolism;GO:0007048: oncogenesis;                        GO:0006259: DNA metabolism;GO:0007048: oncogenesis;
X91992         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007048: oncogenesis;
X92518         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007048: oncogenesis;
U24186         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
X63692         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
U40622         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
U75370         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
X63759         GO:0006259: DNA metabolism;                                                
D87448         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007399: neurogenesis;GO:0006091: energy pathways;
D64108         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
J03473         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;   GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;
L14754         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
AB000410       GO:0006259: DNA metabolism;                                                GO:0006915: apoptosis;GO:0006259: DNA metabolism;
M60331         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
D26018         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
X95654         GO:0006259: DNA metabolism;                                                GO:0008283: cell proliferation;GO:0006259: DNA metabolism;
J05249         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0007582: physiological processes;GO:0000278: mitotic cell cycle;GO:0007048: oncogenesis;
M36067         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0006508: proteolysis and peptidolysis;
U77456         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
M93651         GO:0006259: DNA metabolism;GO:0007048: oncogenesis;GO:0000278: mitotic cell cycle;   GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;GO:0007048: oncogenesis;
M36089         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0006091: energy pathways;GO:0007242: intracellular signaling cascade;
U13695         GO:0006259: DNA metabolism;GO:0007048: oncogenesis;                        GO:0006259: DNA metabolism;GO:0007048: oncogenesis;
X97795         GO:0006259: DNA metabolism;                                                GO:0000074: cell cycle control;GO:0006915: apoptosis;GO:0006259: DNA metabolism;
U13696         GO:0006259: DNA metabolism;GO:0007048: oncogenesis;                        GO:0006259: DNA metabolism;GO:0007048: oncogenesis;
L43631         GO:0006259: DNA metabolism;                                                GO:0000074: cell cycle control;GO:0006259: DNA metabolism;
M74524         GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0006508: proteolysis and peptidolysis;   GO:0006259: DNA metabolism;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
M74525         GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0006508: proteolysis and peptidolysis;   GO:0006259: DNA metabolism;GO:0006508: proteolysis and peptidolysis;
D13370         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
U43431         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0006091: energy pathways;
M96684         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
X66894         GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;
X99226         GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;
U27459         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;GO:0006366: transcription from Pol II promoter;   GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0000278: mitotic cell cycle;
U27516         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0006959: humoral defense mechanism;
X99586         GO:0006259: DNA metabolism;GO:0006810: transport;                          GO:0006259: DNA metabolism;GO:0006810: transport;
L14922         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
U28386         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;GO:0006810: transport;   GO:0006259: DNA metabolism;GO:0006810: transport;GO:0000278: mitotic cell cycle;
U28413         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
U60325         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0006810: transport;GO:0000278: mitotic cell cycle;
X69978         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007155: cell adhesion;GO:0006810: transport;
U28749         GO:0006259: DNA metabolism;                                                GO:0000074: cell cycle control;GO:0006259: DNA metabolism;GO:0007166: cell surface receptor linked signal transduction;GO:0000278: mitotic cell cycle;
D14134         GO:0006259: DNA metabolism;                                                GO:0008283: cell proliferation;GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0006928: cell motility;
U79718         GO:0006259: DNA metabolism;                                                GO:0008283: cell proliferation;GO:0006259: DNA metabolism;GO:0007166: cell surface receptor linked signal transduction;GO:0007048: oncogenesis;
D37984         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
M97287         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007166: cell surface receptor linked signal transduction;
U61145         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
L46353         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007582: physiological processes;
U61397         GO:0006259: DNA metabolism;GO:0006810: transport;                          GO:0006259: DNA metabolism;GO:0006810: transport;
U61981         GO:0006259: DNA metabolism;GO:0007048: oncogenesis;                        GO:0006259: DNA metabolism;GO:0007048: oncogenesis;
Y07595         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0007242: intracellular signaling cascade;GO:0006959: humoral defense mechanism;
U43923         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
U83117         GO:0006259: DNA metabolism;GO:0006810: transport;                          GO:0006259: DNA metabolism;GO:0007166: cell surface receptor linked signal transduction;GO:0006810: transport;
M97856         GO:0006259: DNA metabolism;                                                GO:0006468: protein phosphorylation;GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0007048: oncogenesis;
